      YEAR      PY        PK        PL        PE        PM
      1947   1.00000   1.00000   1.00000   1.00000   1.00000
      1948   1.07863   1.00270   1.15457   1.30259   1.05526
      1949   1.06385  0.743710   1.15584   1.19663   1.06225
      1950   1.08832  0.924973   1.23535   1.21442   1.12430
      1951   1.18774   1.04877   1.33784   1.25180   1.21694
      1952   1.17562  0.997437   1.37949   1.27919   1.19961
      1953   1.17047   1.00654   1.43458   1.27505   1.19044
      1954   1.19028   1.08757   1.45362   1.30357   1.20612
      1955   1.20801   1.10315   1.51121   1.34277   1.23835
      1956   1.26104  0.996066   1.58187   1.37155   1.29336
      1957   1.29250   1.06321   1.64641   1.38010   1.30703
      1958   1.30850   1.15619   1.67389   1.39338   1.32700
      1959   1.31595   1.30758   1.73430   1.36756   1.30774
      1960   1.32115   1.25413   1.78280   1.38025   1.33946
      1961   1.31688   1.26329   1.81977   1.37631   1.34319
      1962   1.31614   1.26525   1.88531   1.37689   1.34745
      1963   1.32046   1.32294   1.93379   1.34737   1.33144
      1964   1.31636   1.32798   2.00998   1.38969   1.35197
      1965   1.33311   1.40659   2.05539   1.38635   1.37543
      1966   1.36546   1.45100   2.13441   1.40102   1.41879
      1967   1.37926   1.38618   2.20617   1.39197   1.42428
      1968   1.40634   1.49901   2.33869   1.43389   1.43481
      1969   1.44714   1.44957   2.46412   1.46481   1.53356
      1970   1.48518   1.32465   2.60532   1.45907   1.54758
      1971   1.54016   1.20178   2.76026   1.64689   1.54979

