   YEAR       Q         K         L         E         M
   1947   196.205   9.31297   45.0961   7.75697   120.207
   1948   182.829   10.6264   43.9693   7.20873   106.468
   1949   191.077   11.5423   41.8166   7.91134   113.107
   1950   217.532   11.9624   44.4985   8.40976   129.378
   1951   235.289   12.2972   48.7602   9.16439   136.689
   1952   244.086   13.0450   51.1402   9.22766   141.135
   1953   269.111   13.6777   54.4577   9.97689   156.706
   1954   247.312   14.2198   51.2944   10.0785   142.018
   1955   277.789   14.7225   54.0984   10.3920   159.050
   1956   281.382   15.1736   55.7854   10.9519   162.295
   1957   282.153   16.0311   55.9122   11.8274   163.127
   1958   262.425   16.8214   52.6973   11.2209   150.735
   1959   291.418   16.9557   56.4288   11.9592   169.792
   1960   296.644   16.9042   56.9827   12.1651   169.226
   1961   297.000   17.1108   56.0163   12.3453   167.971
   1962   320.884   17.2227   58.5997   12.8529   178.634
   1963   337.855   17.4505   59.6128   13.6740   191.822
   1964   359.146   17.8079   61.1658   13.7081   198.323
   1965   389.238   18.4595   64.6947   14.0946   215.563
   1966   417.185   19.6165   69.2726   14.9341   228.398
   1967   425.702   21.2163   70.1610   15.8150   234.596
   1968   451.210   22.4894   72.3024   16.2118   250.484
   1969   466.830   23.5281   74.2756   17.0568   253.226
   1970   446.710   24.7325   71.2039   18.5782   244.296
   1971   457.986   25.6062   68.9305   17.9034   263.076

