         QUARTER              GDP             PGDP          LEADING
          1959.1           496.30           22.900           78.867 
          1959.2           509.30           22.900           79.433 
          1959.3           509.60           22.900           78.867 
          1959.4           513.80           23.100           78.400 
          1960.1           527.30           23.100           78.033 
          1960.2           526.10           23.200           77.333 
          1960.3           529.00           23.300           77.467 
          1960.4           523.90           23.500           77.100 
          1961.1           528.10           23.500           77.733 
          1961.2           538.90           23.600           79.100 
          1961.3           549.60           23.600           79.800 
          1961.4           562.60           23.600           80.633 
          1962.1           575.30           23.800           81.167 
          1962.2           582.80           23.900           80.500 
          1962.3           589.90           23.900           80.300 
          1962.4           592.90           24.000           81.067 
          1963.1           602.20           24.100           82.100 
          1963.2           610.90           24.100           82.767 
          1963.3           623.70           24.200           82.833 
          1963.4           632.80           24.300           83.267 
          1964.1           649.40           24.400           83.833 
          1964.2           658.40           24.500           84.567 
          1964.3           669.20           24.600           85.333 
          1964.4           675.10           24.700           85.967 
          1965.1           695.60           24.800           86.500 
          1965.2           708.20           24.900           86.667 
          1965.3           725.00           25.100           86.900 
          1965.4           747.70           25.200           87.933 
          1966.1           770.50           25.400           88.433 
          1966.2           780.00           25.600           88.033 
          1966.3           793.60           25.900           86.833 
          1966.4           807.10           26.100           85.833 
          1967.1           816.90           26.200           85.700 
          1967.2           823.00           26.400           85.867 
          1967.3           838.90           26.700           87.233 
          1967.4           855.60           27.000           87.833 
          1968.1           880.60           27.300           88.300 
          1968.2           904.70           27.500           88.133 
          1968.3           919.70           27.800           88.433 
          1968.4           937.30           28.200           89.533 
          1969.1           959.90           28.400           89.933 
          1969.2           973.70           28.800           89.500 
          1969.3           993.30           29.200           88.667 
          1969.4           1002.0           29.600           87.767 
          1970.1           1014.0           30.000           86.033 
          1970.2           1029.0           30.400           84.833 
          1970.3           1047.2           30.700           84.800 
          1970.4           1052.3           31.100           85.000 
          1971.1           1096.7           31.600           86.900 
          1971.2           1116.8           32.000           87.967 
          1971.3           1137.1           32.400           88.133 
          1971.4           1150.9           32.700           89.033 
          1972.1           1190.1           33.100           90.867 
          1972.2           1223.5           33.300           91.567 
          1972.3           1247.6           33.600           92.867 
          1972.4           1287.9           34.100           93.633 
          1973.1           1337.2           34.500           93.967 
          1973.2           1367.7           35.000           93.467 
          1973.3           1390.5           35.700           92.900 
          1973.4           1435.3           36.500           92.500 
          1974.1           1446.6           37.100           91.100 
          1974.2           1480.2           37.800           90.000 
          1974.3           1510.9           39.000           87.300 
          1974.4           1549.7           40.200           83.367 
          1975.1           1559.6           41.100           81.267 
          1975.2           1596.4           41.700           84.233 
          1975.3           1657.3           42.500           86.367 
          1975.4           1709.1           43.300           87.867 
          1976.1           1767.4           43.800           89.900 
          1976.2           1797.1           44.200           90.400 
          1976.3           1830.5           44.800           91.400 
          1976.4           1880.8           45.600           91.500 
