     QUARTER          GDP     PGDP2000    LEADING96
      1959.1       495.40       20.680       60.500 
      1959.2       508.40       20.711       60.500 
      1959.3       509.30       20.770       59.900 
      1959.4       513.20       20.853       60.000 
      1960.1       526.90       20.903       58.600 
      1960.2       526.10       20.995       58.900 
      1960.3       528.90       21.093       59.000 
      1960.4       523.60       21.186       58.800 
      1961.1       527.90       21.210       60.000 
      1961.2       539.00       21.249       61.400 
      1961.3       549.40       21.305       61.800 
      1961.4       562.50       21.360       63.200 
      1962.1       576.00       21.482       63.400 
      1962.2       583.20       21.538       62.600 
      1962.3       590.00       21.596       63.300 
      1962.4       593.30       21.671       64.100 
      1963.1       602.40       21.732       65.200 
      1963.2       611.20       21.754       65.900 
      1963.3       623.90       21.794       66.400 
      1963.4       633.50       21.923       66.900 
      1964.1       649.60       22.001       67.800 
      1964.2       658.80       22.073       68.600 
      1964.3       670.50       22.180       69.600 
      1964.4       675.60       22.282       70.100 
      1965.1       695.70       22.380       71.000 
      1965.2       708.10       22.479       71.300 
      1965.3       725.20       22.578       71.700 
      1965.4       747.50       22.717       73.400 
      1966.1       770.80       22.857       74.000 
      1966.2       779.90       23.071       72.800 
      1966.3       793.40       23.293       72.000 
      1966.4       807.10       23.498       71.400 
      1967.1       817.90       23.611       71.500 
      1967.2       822.50       23.759       72.900 
      1967.3       837.10       23.977       74.100 
      1967.4       852.80       24.242       74.900 
      1968.1       879.90       24.503       75.500 
      1968.2       904.20       24.777       75.200 
      1968.3       919.40       25.017       76.000 
      1968.4       936.30       25.367       76.800 
      1969.1       961.00       25.622       77.000 
      1969.2       976.30       25.966       76.300 
      1969.3       996.50       26.345       76.100 
      1969.4       1004.6       26.678       74.800 
      1970.1       1017.3       27.051       73.100 
      1970.2       1033.2       27.437       73.100 
      1970.3       1050.7       27.655       73.200 
      1970.4       1052.9       28.009       74.400 
      1971.1       1098.3       28.429       76.200 
      1971.2       1119.1       28.809       77.100 
      1971.3       1139.3       29.097       77.400 
      1971.4       1151.7       29.329       79.200 
      1972.1       1190.6       29.814       80.800 
      1972.2       1225.9       29.989       81.000 
      1972.3       1249.7       30.264       83.200 
      1972.4       1287.0       30.620       84.400 
      1973.1       1335.5       31.025       84.100 
      1973.2       1371.9       31.542       83.000 
      1973.3       1391.2       32.147       82.000 
      1973.4       1432.3       32.703       80.700 
      1974.1       1447.0       33.371       80.200 
      1974.2       1485.3       34.110       78.400 
      1974.3       1514.2       35.164       75.400 
      1974.4       1553.4       36.240       72.500 
      1975.1       1570.0       37.077       72.800 
      1975.2       1605.6       37.622       75.800 
      1975.3       1663.1       38.324       77.700 
      1975.4       1714.6       39.005       78.700 
      1976.1       1772.6       39.443       81.200 
      1976.2       1804.9       39.866       81.100 
      1976.3       1838.3       40.405       82.100 
      1976.4       1885.3       41.096       83.600 
      1977.1       1939.3       41.781       84.300 
      1977.2       2006.0       42.452       84.700 
      1977.3       2066.8       43.036       84.700 
      1977.4       2111.6       43.762       84.800 
      1978.1       2150.0       44.493       84.500 
      1978.2       2275.6       45.350       85.100 
      1978.3       2336.2       46.133       85.300 
      1978.4       2417.0       47.074       84.100 
      1979.1       2464.4       47.929       84.300 
      1979.2       2527.6       49.092       83.400 
      1979.3       2600.7       50.102       82.800 
      1979.4       2660.5       51.088       80.900 
      1980.1       2725.3       52.209       78.700 
      1980.2       2729.3       53.362       78.700 
      1980.3       2786.6       54.572       81.900 
      1980.4       2916.9       56.105       81.200 
      1981.1       3052.7       57.566       81.700 
      1981.2       3085.9       58.582       81.100 
      1981.3       3178.7       59.661       80.600 
      1981.4       3196.4       60.704       79.900 
      1982.1       3186.8       61.563       79.300 
      1982.2       3242.7       62.330       79.900 
      1982.3       3276.2       63.193       81.100 
      1982.4       3314.4       63.866       82.900 
      1983.1       3382.9       64.413       86.100 
      1983.2       3484.1       64.881       88.400 
      1983.3       3589.3       65.542       89.000 
      1983.4       3690.4       66.020       90.000 
      1984.1       3809.6       66.838       90.900 
      1984.2       3908.6       67.439       90.500 
      1984.3       3978.2       67.989       89.800 
      1984.4       4036.3       68.392       90.900 
