    YEAR        I        F        C
    1935    40.29    417.5     10.5
    1936    72.76    837.8     10.2
    1937    66.26    883.9     34.7
    1938    51.60    437.9     51.8
    1939    52.41    679.7     64.3
    1940    69.41    727.8     67.1
    1941    68.35    643.6     75.2
    1942    46.80    410.9     71.4
    1943    47.40    588.4     67.1
    1944    59.57    698.4     60.5
    1945    88.78    846.4     54.6
    1946    74.12    893.8     84.8
    1947    62.68    579.0     96.8
    1948    89.36    694.6    110.2
    1949    78.98    590.3    147.4
    1950   100.66    693.5    163.2
    1951   160.62    809.0    203.5
    1952   145.00    727.0    290.6
    1953   174.93   1001.5    346.1
    1954   172.49    703.2    414.9
