    YEAR        I        F        C
    1935    317.6   3078.5      2.8
    1936    391.8   4661.7     52.6
    1937    410.6   5387.1    156.9
    1938    257.7   2792.2    209.2
    1939    330.8   4313.2    203.4
    1940    461.2   4643.9    207.2
    1941    512.0   4551.2    255.2
    1942    448.0   3244.1    303.7
    1943    499.6   4053.7    264.1
    1944    547.5   4379.3    201.6
    1945    561.2   4840.9    265.0
    1946    688.1   4900.9    402.2
    1947    568.9   3526.5    761.5
    1948    529.2   3254.7    922.4
    1949    555.1   3700.2   1020.1
    1950    642.9   3755.6   1099.0
    1951    755.9   4833.0   1207.7
    1952    891.2   4924.9   1430.5
    1953   1304.4   6241.7   1777.3
    1954   1486.7   5593.6   2226.3
