    YEAR        I        F        C
    1935    209.9   1362.4     53.8
    1936    355.3   1807.1     50.5
    1937    469.9   2676.3    118.1
    1938    262.3   1801.9    260.2
    1939    230.4   1957.3    312.7
    1940    261.6   2202.9    254.2
    1941    472.8   2380.5    261.4
    1942    445.6   2168.6    298.7
    1943    361.6   1985.1    301.8
    1944    288.2   1813.9    279.1
    1945    258.7   1850.2    213.8
    1946    420.3   2067.7    232.6
    1947    420.5   1796.7    264.8
    1948    494.5   1625.8    306.9
    1949    405.1   1667.0    351.1
    1950    418.8   1677.4    357.8
    1951    588.2   2289.5    342.1
    1952    645.2   2159.4    444.2
    1953    641.0   2031.3    623.6
    1954    459.3   2115.5    669.7
