    YEAR        I        F        C
    1935    12.93    191.5      1.8
    1936    25.90    516.0      0.8
    1937    35.05    729.0      7.4
    1938    22.89    560.4     18.1
    1939    18.84    519.9     23.5
    1940    28.57    628.5     26.5
    1941    48.51    537.1     36.2
    1942    43.34    561.2     60.8
    1943    37.02    617.2     84.4
    1944    37.81    626.7     91.2
    1945    39.27    737.2     92.4
    1946    53.46    760.5     86.0
    1947    55.56    581.4    111.1
    1948    49.56    662.3    130.6
    1949    32.04    583.8    141.8
    1950    32.24    635.2    136.7
    1951    54.38    723.8    129.7
    1952    71.78    864.1    145.5
    1953    90.08   1193.5    174.8
    1954    68.60   1188.9    213.5
