  Year Interest	 Money	  GNP	
  1966	 4.50	 480.0	  2208.3
  1967	 4.19	 524.3	  2271.4	
  1968	 5.16	 566.3	  2365.6
  1969	 5.87	 589.6	  2423.3
  1970	 5.95	 628.2	  2416.2
  1971	 4.88	 712.8	  2484.8
  1972	 4.50	 805.2	  2608.5
  1973	 6.44	 861.0	  2744.1
  1974	 7.83	 908.4	  2729.3
  1975	 6.25	1023.1	  2695.0
  1976	 5.50	1163.6	  2826.7
  1797	 5.46	1286.6	  2958.6
  1978	 7.46	1388.9	  3115.2
  1979	10.28	1497.9	  3192.4
  1980	11.77	1631.4	  3187.1	
  1981	13.42	1794.4	  3248.8
  1982	11.02	1954.9	  3166.0
  1983	 8.50	2188.8	  3277.7
  1984	 8.80	2371.7	  3492.0
  1985	 7.69	2563.6	  3573.5
